Identifiant du site de comptage;Nom du site de comptage;long;lat;Lien vers photo du site de comptage;Comptage horaire
100056045;Pont de la Concorde N-S;2.31988;48.86392;https://www.eco-visio.net/Photos/100056045/15731324831080.jpg;15.091450700029789
100056046;Pont des Invalides S-N;2.31061;48.86282;https://www.eco-visio.net/Photos/100056046/15730363556220.jpg;2.7485917580788617
100056047;Pont de la Concorde S-N;2.32003;48.86378;https://www.eco-visio.net/Photos/100056047/15765769360530.jpg;12.248436103663986
100056223;Pont des Invalides N-S;2.310345;48.86284000000001;https://www.eco-visio.net/Photos/100056223/15730513459820.jpg;5.454274649985106
100056225;3 avenue de la Porte D'Orléans S-N;2.32537;48.82108;https://www.eco-visio.net/Photos/100056225/15731295056820.jpg;1.0853839312184999
100056226;Face au 8 avenue de la porte de Charenton;2.400551;48.830331;https://www.eco-visio.net/Photos/100056226/15731174654220.jpg;4.656506447831184
100056326;72 rue de la Chapelle;2.35953;48.89594;https://www.eco-visio.net/Photos/100056326/15767459723600.jpg;1.5736205370315728
100056327;Face au 4 avenue de la porte de Bagnolet;2.4096900000000003;48.86461;https://www.eco-visio.net/Photos/100056327/15729578421710.jpg;5.033204862140527
100056329;Pont Charles De Gaulle;2.36811;48.84223;https://www.eco-visio.net/Photos/100056329/15977656191320.jpg;5.825445705024311
100056330;36 quai de Grenelle;2.28508;48.85209;https://www.eco-visio.net/Photos/100056330/15977385285420.jpg;12.217555521982172
100056331;Face au 40 quai D'Issy;2.26542;48.83421;https://www.eco-visio.net/Photos/100056331/15730354775440.jpg;0.6600621026171817
100056332;Pont de Bercy;2.37587;48.83848;https://www.eco-visio.net/Photos/100056332/15760595951850.jpg;6.646298092466861
100056334;38 rue Turbigo;2.35358;48.86521;https://www.eco-visio.net/Photos/100056334/15765765524970.jpg;17.55594969364721
100056335;Quai d'Orsay;2.31179;48.86288;https://www.eco-visio.net/Photos/100056335/15730299955270.jpg;18.433580980683505
100056336;27 quai de la Tournelle;2.35423;48.85013;https://www.eco-visio.net/Photos/100056336/15736425280750.jpg;18.552281656089452
100057329;Totem 85 quai d'Austerlitz;2.36729;48.84201;https://www.eco-visio.net/Photos/100057329/15809064759980.jpg;14.682014954742227
100057380;Totem Cours la Reine;2.3144400000000003;48.86462;https://www.eco-visio.net/Photos/100057380/15809102051320.jpg;12.266461301501733
100057445;Totem 73 boulevard de Sébastopol;2.35096;48.86377;https://www.eco-visio.net/Photos/100057445/15809119368880.jpg;49.281039461020214
100060174;21 boulevard Saint Michel S-N;2.343298;48.851525;https://www.eco-visio.net/Photos/100060174/16000972126560.jpg;21.045429362880885
100060175;30 rue Saint Jacques N-S;2.345678;48.851131;https://www.eco-visio.net/Photos/100060175/15907463970530.jpg;20.92797783933518
100060178;90 Rue De Sèvres;2.31529;48.84638;https://www.eco-visio.net/Photos/100060178/15953475589600.jpg;4.539389273800359
100063173;74 Boulevard Ornano S-N;2.345648;48.896825;https://www.eco-visio.net/Photos/100063173/15955761690160.jpg;12.759415833973867
100063174;69 Boulevard Ornano N-S;2.34538;48.89696;https://www.eco-visio.net/Photos/100063174/16033552153460.jpg;4.242121445042275
100063175;20 Avenue de Clichy;2.32666;48.88529000000001;https://www.eco-visio.net/Photos/100063175/15955758283080.jpg;25.732897770945428
