Num_Acc;catv;situ;adr;jour;mois;an;dep;lat;long;hrmn;atm;grav;sexe;an_nais;trajet;age
201900003152;1;1;RUE DE CHARONNE;22;10;2019;75;48.8535785;2.3804157;16:15;1;1;2;1972;1;47
201900003152;1;1;RUE DE CHARONNE;22;10;2019;75;48.8535785;2.3804157;16:15;1;4;1;2014;0;5
201900003155;1;1;BOULEVARD BRUNE;22;10;2019;75;48.8245899;2.319397;00:45;1;1;2;2003;0;16
201900003155;1;1;BOULEVARD BRUNE;22;10;2019;75;48.8245899;2.319397;00:45;1;1;2;1995;9;24
201900003155;1;1;BOULEVARD BRUNE;22;10;2019;75;48.8245899;2.319397;00:45;1;4;1;1990;0;29
201900003681;1;5;BOULEVARD VINCENT AURIOL;26;11;2019;75;48.8345773;2.367362;18:00;1;4;1;1970;1;49
201900003681;1;5;BOULEVARD VINCENT AURIOL;26;11;2019;75;48.8345773;2.367362;18:00;1;1;1;1973;1;46
201900003682;1;5;RUE CHARCOT;26;11;2019;75;48.8311376;2.3718955;08:45;8;4;2;1980;0;39
201900003682;1;5;RUE CHARCOT;26;11;2019;75;48.8311376;2.3718955;08:45;8;1;2;1975;1;44
201900003685;1;1;RUE DE LYON;25;11;2019;75;48.8514329;2.3699002;22:15;2;1;1;1971;4;48
201900003685;1;1;RUE DE LYON;25;11;2019;75;48.8514329;2.3699002;22:15;2;4;2;1999;5;20
201900003686;1;1;RUE DU CHEMIN VERT;26;11;2019;75;48.861858;2.3834096;19:00;8;1;1;1982;0;37
201900003686;1;1;RUE DU CHEMIN VERT;26;11;2019;75;48.861858;2.3834096;19:00;8;4;1;1975;0;44
201900003688;1;5;BOULEVARD DE SEBASTOPOL;26;11;2019;75;48.8595305;2.3487901;19:45;2;4;2;1977;1;42
201900003689;1;5;RUE DANIELLE CASANOVA;25;11;2019;75;48.8680848;2.33114;09:15;1;1;1;1989;1;30
201900003689;1;5;RUE DANIELLE CASANOVA;25;11;2019;75;48.8680848;2.33114;09:15;1;4;2;1965;1;54
201900003852;1;1;AVENUE DE LA REPUBLIQUE;20;9;2019;75;48.8660025;2.3706578;08:05;1;4;2;1988;1;31
201900003852;1;1;AVENUE DE LA REPUBLIQUE;20;9;2019;75;48.8660025;2.3706578;08:05;1;1;1;1960;4;59
201900003998;1;1;PLACE DU TROCADERO;18;9;2019;75;48.863301;2.286661;13:40;1;1;1;1971;1;48
201900003998;1;1;PLACE DU TROCADERO;18;9;2019;75;48.863301;2.286661;13:40;1;4;1;1969;1;50
201900004001;1;5;RUE MARMONTEL;18;9;2019;75;48.836752;2.299544;16:25;1;4;2;1957;0;62
201900004001;1;5;RUE MARMONTEL;18;9;2019;75;48.836752;2.299544;16:25;1;1;1;1992;9;27
201900004864;1;1;RUE DE LA CONVENTION;21;10;2019;75;48.8453443;2.278554;08:50;8;1;1;1981;4;38
201900004864;1;1;RUE DE LA CONVENTION;21;10;2019;75;48.8453443;2.278554;08:50;8;4;2;1960;5;59
201900004867;1;5;BOULEVARD DE LA CHAPELLE;21;10;2019;75;48.883729;2.351254;18:43;1;1;2;1987;1;32
201900004867;1;5;BOULEVARD DE LA CHAPELLE;21;10;2019;75;48.883729;2.351254;18:43;1;4;1;1942;0;77
201900005471;1;6;RUE DE L OURCQ;25;11;2019;75;48.8930387;2.3776844;20:00;1;1;2;1998;9;21
201900005471;1;6;RUE DE L OURCQ;25;11;2019;75;48.8930387;2.3776844;20:00;1;4;1;1988;9;31
201900006021;1;6;BOULEVARD SAINT GERMAIN;17;9;2019;75;48.8520937;2.3393228;19:00;1;1;1;1995;4;24
201900006021;1;6;BOULEVARD SAINT GERMAIN;17;9;2019;75;48.8520937;2.3393228;19:00;1;4;2;1996;5;23
