Date;Comptage horaire
2019-09-01;37.6757852077001
2019-09-02;52.71099290780142
2019-09-03;58.86524822695036
2019-09-04;61.294871794871796
2019-09-05;59.644557823129254
2019-09-06;55.99744897959184
2019-09-07;41.583333333333336
2019-09-08;38.53231292517007
2019-09-09;59.704081632653065
2019-09-10;62.974489795918366
2019-09-11;57.40816326530612
2019-09-12;60.48639455782313
2019-09-13;99.75
2019-09-14;47.624149659863946
2019-09-15;42.101190476190474
2019-09-16;58.183673469387756
2019-09-17;60.56292517006803
2019-09-18;60.017857142857146
2019-09-19;59.62329931972789
2019-09-20;57.449829931972786
2019-09-21;47.00170068027211
2019-09-22;27.533163265306122
2019-09-23;56.81802721088435
2019-09-24;49.49744897959184
2019-09-25;49.755102040816325
2019-09-26;58.564625850340136
2019-09-27;57.77636054421769
2019-09-28;44.60459183673469
2019-09-29;25.496598639455783
2019-09-30;60.072278911564624
2019-10-01;50.75850340136054
2019-10-02;61.63860544217687
2019-10-03;63.005102040816325
2019-10-04;56.3469387755102
2019-10-05;35.28826530612245
2019-10-06;33.630102040816325
2019-10-07;59.49149659863946
2019-10-08;37.55612244897959
2019-10-09;46.374149659863946
2019-10-10;62.90731292517007
2019-10-11;61.58163265306123
2019-10-12;46.574829931972786
2019-10-13;43.8171768707483
2019-10-14;55.916666666666664
2019-10-15;57.7312925170068
2019-10-16;46.08078231292517
2019-10-17;53.849489795918366
2019-10-18;54.57993197278912
2019-10-19;34.62840136054422
2019-10-20;19.443877551020407
2019-10-21;48.05697278911565
2019-10-22;54.093537414965986
2019-10-23;54.10884353741496
2019-10-24;55.81207482993197
2019-10-25;51.65391156462585
2019-10-26;43.84608843537415
2019-10-27;19.196428571428573
2019-10-28;46.78231292517007
2019-10-29;43.45493197278912
2019-10-30;44.954905063291136
2019-10-31;40.509433962264154
2019-11-01;17.878028404344192
2019-11-02;24.29605263157895
2019-11-03;16.98172514619883
2019-11-04;42.27903682719547
2019-11-05;48.54588394062078
2019-11-06;44.51015228426396
2019-11-07;43.972727272727276
2019-11-08;43.51705882352941
2019-11-09;26.3556338028169
2019-11-10;16.130281690140844
2019-11-11;16.927230046948356
2019-11-12;38.973591549295776
2019-11-13;42.26071842410197
2019-11-14;43.81229597388466
2019-11-15;19.858766233766232
2019-11-16;24.44751082251082
2019-11-17;25.32792207792208
2019-11-18;34.307359307359306
2019-11-19;44.17424242424242
2019-11-20;43.60443722943723
2019-11-21;42.681277056277054
2019-11-22;42.88636363636363
2019-11-23;22.00703463203463
2019-11-24;26.075757575757574
2019-11-25;40.811688311688314
2019-11-26;39.224567099567096
2019-11-27;37.54816017316017
2019-11-28;41.779761904761905
2019-11-29;37.79761904761905
2019-11-30;29.35822510822511
2019-12-01;18.28030303030303
2019-12-02;42.75541125541125
2019-12-03;44.92424242424242
2019-12-04;50.02056277056277
2019-12-05;82.05790043290044
2019-12-06;80.90422077922078
2019-12-07;65.3219696969697
2019-12-08;43.1948051948052
2019-12-09;83.93777056277057
2019-12-10;106.82079414838036
2019-12-11;101.34088620342396
