Identifiant du site de comptage;Nom du site de comptage;long;lat;Lien vers photo du site de comptage;Comptage horaire
100056046;Pont des Invalides S-N;2.31061;48.86282;https://www.eco-visio.net/Photos/100056046/15730363556220.jpg;22.997827160493827
100056047;Pont de la Concorde S-N;2.32003;48.86378;https://www.eco-visio.net/Photos/100056047/15765769360530.jpg;62.86593232112732
100056223;Pont des Invalides N-S;2.310345;48.86284000000001;https://www.eco-visio.net/Photos/100056223/15730513459820.jpg;21.609209090006946
100056225;3 avenue de la Porte D'Orléans S-N;2.32537;48.82108;https://www.eco-visio.net/Photos/100056225/15731295056820.jpg;3.44
100056226;Face au 8 avenue de la porte de Charenton;2.400551;48.830331;https://www.eco-visio.net/Photos/100056226/15731174654220.jpg;24.61079656384225
100056326;72 rue de la Chapelle;2.35953;48.89594;https://www.eco-visio.net/Photos/100056326/15767459723600.jpg;4.518627740096333
100056327;Face au 4 avenue de la porte de Bagnolet;2.4096900000000003;48.86461;https://www.eco-visio.net/Photos/100056327/15729578421710.jpg;24.255111111111113
100056329;Pont Charles De Gaulle;2.36811;48.84223;https://www.eco-visio.net/Photos/100056329/15977656191320.jpg;30.032501889644745
100056330;36 quai de Grenelle;2.28508;48.85209;https://www.eco-visio.net/Photos/100056330/15977385285420.jpg;57.48235767856244
100056331;Face au 40 quai D'Issy;2.26542;48.83421;https://www.eco-visio.net/Photos/100056331/15730354775440.jpg;6.184639637420562
100056332;Pont de Bercy;2.37587;48.83848;https://www.eco-visio.net/Photos/100056332/15760595951850.jpg;36.93128702207862
100056334;38 rue Turbigo;2.35358;48.86521;https://www.eco-visio.net/Photos/100056334/15765765524970.jpg;71.9330755183156
100056335;Quai d'Orsay;2.31179;48.86288;https://www.eco-visio.net/Photos/100056335/15730299955270.jpg;80.66775566775567
100056336;27 quai de la Tournelle;2.35423;48.85013;https://www.eco-visio.net/Photos/100056336/15736425280750.jpg;77.20331219168429
100057329;Totem 85 quai d'Austerlitz;2.36729;48.84201;https://www.eco-visio.net/Photos/100057329/15809064759980.jpg;68.77120199239744
100057380;Totem Cours la Reine;2.3144400000000003;48.86462;https://www.eco-visio.net/Photos/100057380/15809102051320.jpg;67.81736565345646
100057445;Totem 73 boulevard de Sébastopol;2.35096;48.86377;https://www.eco-visio.net/Photos/100057445/15809119368880.jpg;171.29515870471306
100060174;21 boulevard Saint Michel S-N;2.343298;48.851525;https://www.eco-visio.net/Photos/100060174/16000972126560.jpg;106.54491791182438
100060175;30 rue Saint Jacques N-S;2.345678;48.851131;https://www.eco-visio.net/Photos/100060175/15907463970530.jpg;72.71093894115477
100060178;90 Rue De Sèvres;2.31529;48.84638;https://www.eco-visio.net/Photos/100060178/15953475589600.jpg;19.334600598035028
100063173;74 Boulevard Ornano S-N;2.345648;48.896825;https://www.eco-visio.net/Photos/100063173/15955761690160.jpg;43.8385776413405
100063174;69 Boulevard Ornano N-S;2.34538;48.89696;https://www.eco-visio.net/Photos/100063174/16033552153460.jpg;22.743924277308775
100063175;20 Avenue de Clichy;2.32666;48.88529000000001;https://www.eco-visio.net/Photos/100063175/15955758283080.jpg;92.85955487336915
